review,sentiment,predicted
"This movie is just great... It starts out real slow and boring but as the movie progresses.....well the fun keeps on coming. The power of the movie is perhaps in it's subtle references to a lot (and I mean a lot) of other movies. For me the best part was perhaps the Bruce Lee/Crouching Tiger, Hidden Dragon scene. How the two actors switches from French to Chinese or whatever Asian language it was, it was awesome. Then the jokes with the names, they are hilarious but perhaps you won't understand all of them when your an American (no offense). Overall a great movie",positive,positive
"This movie has more goofs than any other movie I have seen in my life. The special effects are damned terrible. For instance, near the end, when the Concorde is falling after the cargo door tears off, the thing spins like a toy. The special effects of Airport (1970) are way better than this crap. Also, the force of a Concorde opening up at altitude and speed would essentially turn the thing inside-out. (That is if it would even open at all) But the movie has its good points. Mostly when it ends. That's also cheesy. E.g. The Thing lands on a bank of loosely-packed snow, if it did that, it would splinter into a million pieces. Overall, 2 out of 10. Instant flop. Great laugh flick.",negative,negative
"Michael Polish's hypnotic ""Northfork"" is a film that will stay in one's memory for quite a long time. This exquisitely crafted movie that Michael and Mark Polish wrote, is visually one of the best things that came out last year from the world of independent films. The movie is splendidly photographed by M. David Mullen, with a haunting score by Stuart Matthewman. If you haven't seen the film, perhaps you should stop reading here. The idea to set the film […] great promise. The mystical group is brilliantly acted by Daryl Hannah, Robin Sachs, Ben Foster and Anthony Edwards, the man with the funny spectacles. Peter Coyote, Mark Polish, Ben Foster, and the rest of the cast are flawless under Mr. Polish direction. The beauty of the film relies in its simplicity. Mr. Polish's vision will haunt one's memory. The images of Montana, as perhaps an unreal landscape is one of the best things in American films in quite a while.",positive,positive
"I'm writing this 9 years after the final episode was aired and I am still reeling from the impact Wildside has had on me. It has effectively gone where numerous other cop dramas have gone and succeeded. But it took it further and didn't stray from the realism of the streets, often portraying life events and characters down to a T. I am sorely missing this series, instead we have are given the stupid ""Underbelly"" which is over dramatised and […] garbage. Wildside stayed true to the uniqueness of Sydney and for that I am truly indebted to this wonderful series. The acting was A-grade and it's a shame to see only a few actors have furthered their career whilst others have faded into obscurity. I don't want Australia to forget this wonderful piece of their television history, thus I ask the ABC to release the complete series on DVD, not the first three. Give this series the ending it deserves.",positive,positive
"I recently purchassed the very underrated Dreamcast and went off into town to find some games to use them on. I bought Soul Calibur (A classic) and then i stepped across the domain of Resident Evil Code Veronica. I have Resident Evil 1 & 2, and have played Res Evil 3 numerous occasions, and i have been impressed with all of them, especially no.1 which has to go down in history has a classic. But none of them 3 come […] if you manage to get that far without running out of the room in fear. The control are very slick and the movement of the characters are magnificently realistic, when the character notices danger, he/she faces the direction it is coming from. PURE GENIUS!! Overall i gave this game 10/10 because it is simply the game of the year, game of the decade and the best game in the world full stop!!. Please purchase this game as soon as possible.",positive,positive
"This little film brings back a lot of memories, both fond and foul, of what can and does happen when one is a working musician. The not so pleasant accommodations for the band, the management of the venue jumping up and down telling you what to play, the sheer ecstasy of the applause.............. Far from being farcical it is, in fact, very accurate in the way it depicts musicians, professional and otherwise, who have travelled a great distance to perform a season of gigs at a venue. There are those times when everything goes perfectly, there are those other times when you immediately start to miss your partner and wonder what the hell you are doing this far from home. In the end you have to make the best of it because there is no other way out.",positive,positive
"An attempt at crossover to appeal to those who don't appreciate opera, exploiting the fame of one of the greatest opera singers of all time, it fails badly. All that is desirable in this movie is the opera, and one can best find a recording of Pavarotti doing what he does best. The plot revolves around a romance with a doctor who heals his throat which has suddenly become troublesome. Only because it came out so long ago is it […] popularity through film. Very often it all goes badly wrong due to incompetent acting or a horrible script. Pavarotti would have been a decent actor had he not shown such a superb voice. However effective he is as an actor (opera requires it), not even Jimmy Stewart could have rescued this turkey of a script. I give it a polite 3 of 10 because someone may have become a fan of Pavarotti's singing and of opera because of this movie.",negative,negative
"I thought this was an utterly charming film. The story seems to be a thinly veiled autobiography of John Waters: Pecker's greatest gift is his ability to find beauty in unexpected places. Edward Furlong does well in the lead, but the best performances are by his grandmother, Mink Stole (a hilarious cameo) and, of all people, Patty Hearst. I think the reviewers are way off base on this one. They seem to be taking Pecker's worst valuation of his work as gospel, when I think the film pretty clearly states that he is indeed a promising artist.",positive,positive
"This movie was slower then Molasses in January... in Alaska. The man who put togeather the preview should get an award for managing to put every one of the 30 seconds that were interisting into the preview. I had to wake up the people I was watching it with, several times. After it was over, I felt bad for having woken them up. Most of the film is taken up with hoping something will actually happen, but nothing ever does. […] And worse, we watched a minute or two of the added features, just for kicks and giggles you understand, and all that we saw was people being smug about how socially aware they are. If they had spend the time on the movie that they did patting themselves on the back, it might have been worth watching. I was brought in expecting the excitement of '24.' I got a lecture on social awareness through the blery eyes of the sandman.",negative,negative
"i really did not watch this show as often when i was a child but the first episode i remember ever seeing is the episode where Kimmy Gibbler pierced Stephanie ears. when i started high school back in 2000. i had problems all through out high school and i'd rather not get into that. but i used to always watch saved by the bell but that show really reminded me of the problems i faced at school, and it rarely […] just wished they would have made a 9th season because, it left a big question mark in my head, because on the last episode in the last minute, dj gets a surprise and goes to her prom with her ex boyfriend steve, i always wondered if they got back together. and i liked how in the final seasons, DJ was always the responisible one and stephanie was always wanting to do something daring, like in the episode ""stephanie's wild ride""",positive,positive
